Status,Localidade,People,Usuário,Tipo de acesso,Operadora,Número (Designação),Valor Fidelizado,Centro de custo,Velocidade,Data Ativação,Data Desativação,vd,Obs. Acesso
ATIVO,Não informado,2650,L2650 - DSP PRACA DA ARVORE,MONITORA DADOS,VIVO,110000186815292,50,2026500000,,,,,
ATIVO,Não informado,2650,L2650 - DSP PRACA DA ARVORE,VPN IP MPLS,VIVO,110005589232893,350.01,2026500000,10 MBPS,,,,
ATIVO,Não informado,2650,L2650 - DSP PRACA DA ARVORE,INN,EMBRATEL,SPO_IP_85245,453.77,2026500000,,,,,
ATIVO,Não informado,2647,L2647 - DSP TAGUATINGA ANCHIETA,VPN IP MPLS,VIVO,610000182573792,350.01,2026470000,10 MBPS,,,,
ATIVO,Lojas,2647,L2647 - DSP TAGUATINGA ANCHIETA,MONITORA DADOS,VIVO,610000182575797,50,2026470000,,,,,
ATIVO,Lojas,2647,L2647 - DSP TAGUATINGA ANCHIETA,INN,EMBRATEL,BSA_IP_30219,454.3,2026470000,,,,,
ATIVO,Lojas,2640,L2640 - DSP INDAIATUBA PARK II,INN,EMBRATEL,IDU_IP_01651,453.77,2026400000,,,,,
ATIVO,Não informado,2636,L2636 - DSP ERNESTO DE PAULA,VPN IP MPLS,VIVO,810000186814698,332.51,2026360000,10 MBPS,,,,
ATIVO,LOJA,2636,L2636 - DSP ERNESTO DE PAULA,INN,EMBRATEL,RCE_IP_21616,450,2026360000,,,,,
ATIVO,Não informado,2632,L2632 - DSP PAULINIA II,MONITORA DADOS,VIVO,114510186815194,50,2026320000,,,,,
ATIVO,Não informado,2632,L2632 - DSP PAULINIA II,VPN IP MPLS,VIVO,114513884104994,350.01,2026320000,10 MBPS,,,,
ATIVO,Não informado,2632,L2632 - DSP PAULINIA II,INN,EMBRATEL,PLA_IP_00938,453.77,2026320000,,,,,
